Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	site_name	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
0	2873	147	533	109.0	0.0839	0.5185	0.840941288145	0.449740851319	-580.15734618	0.09829115112810001	'700099089.may1'	254	0.2337	0.665197377605	0.988719655819	-444.092619608	0.7698471263	1926	0.0309	1.04463407705	-4.2821439443500005	3.6351963181599998	-424.89030272900004	0.9850541711399999	14979	0.012	1.10047752544	1.5602933650400002	-426.63102614800005	0.940247292738
2	4366	57	3455	361.0	0.0278	0.5169	0.9172006159909999	0.425285427865	-303.923712769	-1.04951076301	'700099531.may1'	911	0.1865	0.657543597391	0.9978848278550001	-197.955757106	0.420737983438	2986	0.0354	0.900187472323	-10.2213880571	5.38757130011	-181.813707163	0.9695192603239999	7172	0.0263	0.913649580098	1.5032117081799998	-182.374118369	0.9548526369670001
3	6382	62	5619	494.0	0.0208	0.5157	0.9376954629440001	0.427709345735	-349.01221063800006	-1.88878483371	'700024878.may1'	1307	0.1759	0.669428148136	0.9985097694410001	-217.84779757	0.08334161601430001	950	0.0586	0.8797426484280001	-2.4377676267900004	3.29202279445	-196.682532659	0.9705275660320001	8231	0.0243	0.9304515014720001	1.50476615123	-197.824828999	0.935595216797
7	3286	18	3240	653.0	0.0571	0.5348	0.688456715164	0.37272962365999995	-111.677591145	-3.4580272993900003	'700024270.may1'	1417	0.19899999999999998	0.5718114745130001	0.9993306201109999	-56.1018250304	-1.06068260031	215	0.0995	0.675515883505	-38.3461662261	8.72670135878	-43.97212628810001	0.831718055248	120	0.1264	0.666116189251	1.6753147320500001	-43.8688899573	0.785375870926
9	2763	42	1596	290.0	0.0603	0.5206	0.788247553413	0.41437419188600005	-217.50806556599997	-0.47958867498400004	'700024756.may1'	683	0.1973	0.63388125758	0.997465841353	-159.81207855899999	0.6288612714399999	581	0.1043	0.779221053343	0.31811241024099995	2.48069841795	-152.854054436	0.939799102025	19916	0.0301	0.856731704714	1.42442622028	-156.307949934	0.819365566397
10	4480	125	1597	196.0	0.047	0.5141	0.946316834973	0.44674410738000003	-570.622762827	-0.6124808131399999	'700095543.may1'	496	0.2038	0.6782723805069999	0.9947042935029999	-385.049904188	0.46401137884300003	4826	0.0192	1.05207797002	-14.317100764700001	5.7928867524	-349.598916555	0.9885729925210001	7708	0.0151	1.0651418052600001	1.5825702777500001	-350.00747063	0.980777438268
11	3329	23	1353	553.0	0.1798	0.5286	0.584388517735	0.386884262219	-137.343822591	-0.0660079611255	'700098149.may1'	1247	0.1926	0.596593721646	0.999048070448	-103.040594759	0.8566253260690001	13845	0.055	0.734699523801	-12.749213040899999	7.26339398525	-102.67805916200001	0.895457567968	41831	0.0485	0.7376175630859999	1.34219767773	-103.18061111799999	0.846679497466
13	16255	20	13125	2997.0	0.0733	0.5309	0.6867707331380001	0.379122780567	-153.996162187	-2.2544847465	'700038406.may1'	7361	0.1663	0.600984634169	0.9998841895139999	-82.2863657786	-0.0692962377465	4083	0.0626	0.7068481462459999	-45.7817248182	11.3913943456	-73.7102931989	0.9175078826049999	3119	0.0638	0.706605859062	1.4296843443	-73.63958183359999	0.9024725596750001
19	4120	81	1730	257.0	0.0433	0.5144	0.846882852782	0.43533762561000006	-398.46039446599997	-1.00570587737	'700099237.may1'	648	0.1951	0.667460929994	0.9965429681479999	-257.734707723	0.313482912566	2475	0.0295	0.963657899381	-11.2659941377	5.286438152790001	-231.557103844	0.98992661691	4465	0.0223	0.978685715313	1.56953858683	-231.58343610400001	0.987445180492
20	361	33	139	44.0	0.1588	0.5432	0.714529783264	0.406719769015	-110.39172988	0.6584402628939999	'700100464.may1'	78	0.3036	0.563879967091	0.9761090949179999	-99.3734239394	0.8806103635100001	75	0.2743	0.640855720555	0.744008986257	1.56365756949	-97.0792914136	0.942134875321	1838	0.0471	0.802636261575	1.5205162285	-102.410880638	0.595458774795
21	4900	92	2720	276.0	0.0232	0.5134	0.893247055951	0.439718767075	-456.849445353	-4.774459237149999	'700108147.may1'	712	0.1917	0.675285374956	0.996729998325	-231.25231940700002	-2.1645009576099996	328	0.0432	0.973721650317	-28.790376527600003	6.62619698759	-155.41101837600002	0.857332756753	129	0.0863	0.938339576007	1.97289064742	-155.177801518	0.815759024322
